cluster_id,vertex0_lat,vertex0_lon,vertex1_lat,vertex1_lon,vertex2_lat,vertex2_lon,vertex3_lat,vertex3_lon,crime_score
e008eaf9-b8a0-44ad-8ddd-126d8f3ace8e,42.36914927313277,-71.1184795608566,42.36543263266267,-71.11423920923704,42.369300673061446,-71.12187194534239,42.36737007296823,-71.11615481016294,3
f9c30d5d-ae86-4db3-9116-c331a6fc79c7,42.379415594702905,-71.12906733490121,42.370490953279365,-71.12458251292767,42.3762884892533,-71.12407253897594,42.37444090464794,-71.12985192261368,3
58b340a7-5695-40ef-89bb-646fa5c62d75,42.40052292882365,-71.13035511664226,42.402192042760895,-71.12668861538862,42.399297964499226,-71.12848833035075,42.40343555439344,-71.12859886596743,0
7722f2e8-b4a1-447e-97b9-75a6752f1474,42.362982561327385,-71.10506549502773,42.3628018721299,-71.10908360730704,42.36428510126586,-71.10733046426674,42.36160181496503,-71.10680532088223,3
c6526d07-8816-4833-8394-5b12459b9439,42.3707205082238,-71.07236692924737,42.369989103189155,-71.0748894537409,42.36937038899067,-71.07326402459778,42.37119031120497,-71.07527668754801,3
2fdd90c8-b61f-4604-82ae-3e7cf9ef337c,42.35519067126005,-71.09737193640336,42.36306917287683,-71.08930917226576,42.357981153281166,-71.09399175026567,42.35864554727111,-71.08710222503635,0
4f3cca37-e08d-4e04-9b4e-a01ad2ef0827,42.36596529806927,-71.10335798067806,42.36836945136229,-71.09985104911712,42.365300673030376,-71.10140805946736,42.3675729591834,-71.10226317707802,4
52bfb974-7069-4f45-a613-d737e30e5e8c,42.49911926174096,-70.9247462085703,42.491603724133945,-70.9172978284432,42.49293296921006,-70.93305295702993,42.50257877804302,-70.91849150412546,0
e50f66ae-5d5d-4563-8796-0823aab90c8f,42.074682081032506,-71.72781527682966,42.07069876409924,-71.75686305500798,42.053417783015846,-71.69353243214412,42.04978751307232,-71.73260096787283,2
ae087b41-b8b2-45e8-a844-14c7e1004564,42.42440909850108,-71.17492329919612,42.427661773457764,-71.1736623143135,42.42234311635008,-71.16940054375247,42.426902982547624,-71.16953343084236,0
6b4329c6-759f-47eb-ba77-781edbffe955,42.36152822822509,-71.08785610023203,42.36051907289945,-71.07729973012785,42.35663767194108,-71.0842870988707,42.362665958720335,-71.08425645642367,3
f771d253-e0ec-46db-9e18-6a18ec6dd0b5,42.39718590041018,-71.13306995065425,42.398146539140534,-71.14157342567351,42.393947260709844,-71.13465461764157,42.3947230891046,-71.14034044291266,3
bfa9a397-63d3-4cf8-b3f6-7879eb970844,42.42247578444915,-71.24707397185361,42.42082584604414,-71.23330004048142,42.425776267796444,-71.25632465953545,42.41553294500262,-71.23309545107502,0
2797112c-c2d6-4656-9c5b-4b384c3e8c51,42.39211505182699,-71.14178436971218,42.38881598378303,-71.14384892809689,42.390927943340394,-71.13805061856748,42.387617675874495,-71.14161711965238,1
2ba731e7-2937-407e-8e86-953f0696c474,42.373494143342725,-71.16017886006719,42.372825903333776,-71.15757031602244,42.37583330463763,-71.1593575194658,42.37158140574858,-71.15960729108275,0
